Loadstar Sensors SensorVUE - Log File
Units for F184625692:,N
Units for Peak (F184625692):,N
Units for Low (F184625692):,N
Logging Interval:,0.01 sec
--------------------------------------------------------------------------------
*** Use custom format 'hh:mm:ss.000' in Microsoft Excel to correctly display the time stamp in milliseconds. ***
------------------------------------------------------------------------------------------------------------------------
Time,Elapsed Time(sec),F184625692,Peak (F184625692),Low (F184625692),
2019-04-03 11:43:37.614,1.298,-0.001,0.000,-0.002,,
2019-04-03 11:43:37.629,1.313,-0.001,0.000,-0.002,,
2019-04-03 11:43:37.644,1.328,-0.001,0.000,-0.002,,
2019-04-03 11:43:37.659,1.343,-0.001,0.000,-0.002,,
2019-04-03 11:43:37.674,1.358,-0.001,0.000,-0.002,,
2019-04-03 11:43:37.688,1.372,-0.001,0.000,-0.002,,
2019-04-03 11:43:37.703,1.387,-0.001,0.000,-0.002,,
2019-04-03 11:43:37.718,1.402,-0.001,0.000,-0.002,,
2019-04-03 11:43:37.733,1.417,-0.001,0.000,-0.002,,
2019-04-03 11:43:37.747,1.431,-0.001,0.000,-0.002,,
2019-04-03 11:43:37.762,1.446,-0.001,0.000,-0.002,,
2019-04-03 11:43:37.777,1.461,-0.001,0.000,-0.002,,
2019-04-03 11:43:37.791,1.475,-0.001,0.000,-0.002,,
2019-04-03 11:43:37.807,1.491,-0.001,0.000,-0.002,,
2019-04-03 11:43:37.821,1.505,-0.001,0.000,-0.002,,
2019-04-03 11:43:37.835,1.519,-0.002,0.000,-0.002,,
2019-04-03 11:43:37.850,1.534,-0.002,0.000,-0.002,,
2019-04-03 11:43:37.866,1.550,-0.002,0.000,-0.002,,
2019-04-03 11:43:37.880,1.564,-0.002,0.000,-0.002,,
2019-04-03 11:43:37.895,1.579,-0.001,0.000,-0.002,,
2019-04-03 11:43:37.909,1.593,-0.001,0.000,-0.002,,
2019-04-03 11:43:37.925,1.609,-0.001,0.000,-0.002,,
2019-04-03 11:43:37.940,1.624,-0.001,0.000,-0.002,,
2019-04-03 11:43:37.954,1.638,-0.001,0.000,-0.002,,
2019-04-03 11:43:37.968,1.652,-0.001,0.000,-0.002,,
2019-04-03 11:43:37.983,1.667,-0.001,0.000,-0.002,,
2019-04-03 11:43:37.998,1.682,-0.001,0.000,-0.002,,
2019-04-03 11:43:38.012,1.696,-0.001,0.000,-0.002,,
2019-04-03 11:43:38.027,1.711,-0.001,0.000,-0.002,,
2019-04-03 11:43:38.042,1.726,-0.001,0.000,-0.002,,
2019-04-03 11:43:38.057,1.741,-0.001,0.000,-0.002,,
2019-04-03 11:43:38.072,1.756,-0.002,0.000,-0.002,,
2019-04-03 11:43:38.101,1.785,-0.002,0.000,-0.002,,
2019-04-03 11:43:38.116,1.800,-0.002,0.000,-0.002,,
2019-04-03 11:43:38.131,1.815,-0.002,0.000,-0.002,,
2019-04-03 11:43:38.145,1.829,-0.002,0.000,-0.002,,
2019-04-03 11:43:38.160,1.844,-0.002,0.000,-0.002,,
2019-04-03 11:43:38.175,1.859,-0.002,0.000,-0.002,,
2019-04-03 11:43:38.191,1.875,-0.001,0.000,-0.002,,
2019-04-03 11:43:38.205,1.889,-0.001,0.000,-0.002,,
2019-04-03 11:43:38.219,1.903,-0.001,0.000,-0.002,,
2019-04-03 11:43:38.234,1.918,-0.001,0.000,-0.002,,
2019-04-03 11:43:38.249,1.933,0.000,0.000,-0.002,,
2019-04-03 11:43:38.264,1.948,0.000,0.000,-0.002,,
2019-04-03 11:43:38.278,1.962,0.000,0.000,-0.002,,
2019-04-03 11:43:38.293,1.977,0.000,0.000,-0.002,,
2019-04-03 11:43:38.308,1.992,-0.001,0.000,-0.002,,
2019-04-03 11:43:38.323,2.007,-0.001,0.000,-0.002,,
2019-04-03 11:43:38.352,2.036,-0.001,0.000,-0.002,,
2019-04-03 11:43:38.367,2.051,-0.001,0.000,-0.002,,
2019-04-03 11:43:38.382,2.066,-0.001,0.000,-0.002,,
2019-04-03 11:43:38.397,2.081,-0.001,0.000,-0.002,,
2019-04-03 11:43:38.411,2.095,-0.001,0.000,-0.002,,
2019-04-03 11:43:38.426,2.110,0.000,0.000,-0.002,,
2019-04-03 11:43:38.441,2.125,0.000,0.000,-0.002,,
2019-04-03 11:43:38.456,2.140,0.000,0.000,-0.002,,
2019-04-03 11:43:38.470,2.154,0.000,0.000,-0.002,,
2019-04-03 11:43:38.485,2.169,-0.002,0.000,-0.002,,
2019-04-03 11:43:38.500,2.184,-0.002,0.000,-0.002,,
2019-04-03 11:43:38.515,2.199,-0.002,0.000,-0.002,,
2019-04-03 11:43:38.529,2.213,-0.002,0.000,-0.002,,
2019-04-03 11:43:38.544,2.228,0.000,0.000,-0.002,,
2019-04-03 11:43:38.559,2.243,0.000,0.000,-0.002,,
2019-04-03 11:43:38.574,2.258,0.000,0.000,-0.002,,
2019-04-03 11:43:38.603,2.287,-0.001,0.000,-0.002,,
2019-04-03 11:43:38.618,2.302,-0.001,0.000,-0.002,,
2019-04-03 11:43:38.633,2.317,-0.001,0.000,-0.002,,
2019-04-03 11:43:38.648,2.332,-0.001,0.000,-0.002,,
2019-04-03 11:43:38.662,2.346,0.000,0.000,-0.002,,
2019-04-03 11:43:38.677,2.361,0.000,0.000,-0.002,,
2019-04-03 11:43:38.692,2.376,0.000,0.000,-0.002,,
2019-04-03 11:43:38.707,2.391,0.000,0.000,-0.002,,
2019-04-03 11:43:38.721,2.405,-0.001,0.000,-0.002,,
2019-04-03 11:43:38.736,2.420,-0.001,0.000,-0.002,,
2019-04-03 11:43:38.752,2.436,-0.001,0.000,-0.002,,
2019-04-03 11:43:38.766,2.450,-0.001,0.000,-0.002,,
2019-04-03 11:43:38.780,2.464,-0.001,0.000,-0.002,,
2019-04-03 11:43:38.795,2.479,-0.001,0.000,-0.002,,
2019-04-03 11:43:38.810,2.494,-0.001,0.000,-0.002,,
2019-04-03 11:43:38.825,2.509,-0.001,0.000,-0.002,,
2019-04-03 11:43:38.839,2.523,-0.001,0.000,-0.002,,
2019-04-03 11:43:38.854,2.538,-0.001,0.000,-0.002,,
2019-04-03 11:43:38.869,2.553,-0.001,0.000,-0.002,,
2019-04-03 11:43:38.884,2.568,-0.001,0.000,-0.002,,
2019-04-03 11:43:38.899,2.583,-0.001,0.000,-0.002,,
2019-04-03 11:43:38.913,2.597,-0.001,0.000,-0.002,,
2019-04-03 11:43:38.928,2.612,-0.001,0.000,-0.002,,
2019-04-03 11:43:38.943,2.627,-0.001,0.000,-0.002,,
2019-04-03 11:43:38.958,2.642,-0.001,0.000,-0.002,,
2019-04-03 11:43:38.972,2.656,-0.001,0.000,-0.002,,
2019-04-03 11:43:38.987,2.671,-0.001,0.000,-0.002,,
2019-04-03 11:43:39.001,2.685,-0.001,0.000,-0.002,,
2019-04-03 11:43:39.016,2.700,-0.001,0.000,-0.002,,
2019-04-03 11:43:39.032,2.716,-0.001,0.000,-0.002,,
2019-04-03 11:43:39.045,2.729,-0.001,0.000,-0.002,,
2019-04-03 11:43:39.061,2.745,-0.001,0.000,-0.002,,
2019-04-03 11:43:39.075,2.759,-0.001,0.000,-0.002,,
2019-04-03 11:43:39.105,2.789,-0.001,0.000,-0.002,,
2019-04-03 11:43:39.120,2.804,-0.001,0.000,-0.002,,
2019-04-03 11:43:39.134,2.818,0.000,0.000,-0.002,,
2019-04-03 11:43:39.149,2.833,0.000,0.000,-0.002,,
2019-04-03 11:43:39.163,2.847,0.000,0.000,-0.002,,
